date,news
2024-01-02,"[""Tesla (NASDAQ: ), a dominant player in the EV sector, has engaged in aggressive price cuts to maintain its market position. Additionally, Rivian's key investor and customer, Amazon (NASDAQ: ), typically refrains from taking deliveries in the fourth quarter due to its focus on the holiday season, further impacting Rivian's delivery numbers."", ""-Tesla surpassed delivery estimates and met annual goal. -Rivian's R1T pickup unlikely to face direct competition from Tesla's Cybertruck.\n\nLooking Ahead: -Rivian needs to navigate market headwinds and convert production strength into robust deliveries."", ""In comparison, Tesla announced favorable quarterly deliveries, achieving its annual goals.\n\nRivian's strategic approach has diverged from other EV startups like Lucid (LCID) and Fisker (FSR), opting not to reduce prices but rather banking on sustained demand for its vehicles."", 'Tesla Sets Quarterly Record but Loses Top EV Spot to BYD in 2023\n\nTSLA -0.02% Add to/Remove from Watchlist RIVN -10.06% Add to/Remove from Watchlist GM +0.39% Add to/Remove from Watchlist 1211 -1.08% Add to/Remove from Watchlist BYDDY -2.88% Add to/Remove from Watchlist BYDDF -3.15% Add to/Remove from Watchlist F -0.21% Add to/Remove from Watchlist', ""Quiver Quantitative - Tesla (NASDAQ: ) wrapped up 2023 with a record-setting fourth quarter, delivering 494,989 electric vehicles, yet it couldn't retain its position as the leading EV manufacturer, surpassed by China's BYD (SZ: )."", ""Despite achieving a remarkable annual production of 1.85 million units, Tesla fell short of CEO Elon Musk's goal of 2 million."", ""In comparison, BYD, bolstered by Warren Buffett's backing, surpassed Tesla with 526,409 deliveries in the fourth quarter, reflecting a consumer shift towards more affordable EV options in an economy burdened by high interest rates."", ""Tesla, in response, introduced various incentives, such as free fast charging for six months for customers who completed their purchases by the end of December. This strategy contributed to Tesla's 11% growth over the previous quarter, exceeding analyst expectations."", ""Market Overview: -Tesla roars to record Q4 deliveries, beating estimates but falling short of its ambitious 2 million target. -China's BYD surges past Tesla, claiming the top EV maker crown with higher overall deliveries in 2023. -High interest rates and Tesla's price cuts reshuffle the EV landscape, favoring cheaper models."", ""Key Points: -Tesla delivers 494,989 EVs in Q4, exceeding market expectations of 473,253 but trailing BYD's 526,409. -Tesla reaches 1.8 million annual deliveries, missing Elon Musk's 2 million goal but surpassing BYD's 3.02 million (including hybrids). -BYD's aggressive price cuts and China's large market fuel its dominance."", 'Tesla offers discounts and incentives to counter tax credit expirations and boost sales. -U.S. automakers like Ford (NYSE: ) and GM become more cautious about EV production plans amid market slowdown. -Tesla faces regulatory scrutiny over Autopilot system recall and Consumer Reports concerns.', 'Looking Ahead: -Maintaining demand without tax credits could necessitate further Tesla price cuts. -Interest rate trends and economic conditions will play a key role in EV market recovery. -Increased competition from Chinese and traditional automakers adds pressure on Tesla.', 'Additionally, Tesla faces the impact of losing federal tax credits under the Inflation Reduction Act (IRA) for some models, which may necessitate further price adjustments to sustain demand.\n\nThis article was originally published on Quiver Quantitative', 'Tesla Sets Quarterly Record but Loses Top EV Spot to BYD in 2023 By Quiver Quantitative', '(META) and Tesla, Inc. (TSLA) deserve a premium valuation.\n\nIndexers pump these up as the biggest get the most money from contributions.\n\nFull employment means more indexing through 401k plans.\n\nWill lead the large cap market, but by a smaller amount than 2023.']"
2024-01-03,"['A Tesla Inc. electric vehicle charges at the automaker’s showroom and service center in Sydney, Australia. Battery electric vehicles accounted for 7.2% of sales in 2023.', ""EV pacesetter Tesla and was the first time that BYD has lapped its American peer.\n\nWhile the U.S. EV industry continues to be important, impactful on the global stage, and prominent, its bellwether company seems to be falling notably behind. That isn't a great development for the rest of the domestic industry."", ""Story continues\n\nLife is tough for the big guys; it's tougher for the smaller fry\n\nIf Tesla and General Motors are going through a challenging time, you can bet that goes double for the newer, smaller, and more specialty auto companies like Fisker -- which still has only one model on the market -- and Nikola."", 'The Motley Fool has positions in and recommends BYD and Tesla. The Motley Fool recommends General Motors and recommends the following options: long January 2025 $25 calls on General Motors. The Motley Fool has a disclosure policy.\n\nWhy Investors Slammed the Brakes on U.S.', 'GET FOX BUSINESS ON THE GO BY CLICKING HERE\n\nAnd electric vehicle maker Tesla, Inc., where Musk is CEO, has faced several NLRB complaints amid a union organizing campaign and numerous lawsuits alleging widespread race discrimination at its factories. Tesla has said it does not tolerate discrimination.']"
2022-01-01,"['What Happened: Bitcoin (CRYPTO: BTC) gained throughout the year and was added to the balance sheet of Tesla Inc (NASDAQ:TSLA), Block Inc (NYSE:SQ) and other publicly traded companies in 2021.', ""If You Invested $1,000 In Bitcoin, Dogecoin And Ethereum At The Start Of 2021, Here's How Much You'd Have Today - Tesla Motors (TSLA)"", 'There are loads of high-quality companies in this ETF’s portfolio which have excellent growth potential for the long-term like Apple, Amazon, Alphabet (Google), Meta (Facebook), Microsoft, Nvidia and Tesla.', 'Other featured articles discuss the outlook for Tesla stock in the year ahead and how a major oil company may be set to beat earnings estimates.\n\nAlso, the prospect of an American semiconductor company nearing a takeover and how the rental car industry is benefiting from ongoing automobile shortages.', 'In ""Tesla Could ‘Considerably’ Extend Its EV Lead. Deutsche Bank Lifts Target to $1,200,"" Joe Woelfel writes about an analyst who boosted their price target on shares of Tesla Inc (NASDAQ:TSLA), saying the world’s shift to electric vehicles could help “extend Tesla’s EV lead considerably.”', ""See Also: Benzinga Bulls And Bears Of The Past Week: Disney, Ford, Carnival, Robinhood, Tesla, Apple And More\n\nAlso in this week's Barron's:\n\nWant to Retire at Age 50? Do Some Hard Thinking First.\n\nThis Mini Berkshire Hathaway Flies Under the Radar. And Its Stock Is Cheap.\n\nChina's Stocks Had a Bad Year. What to Expect in 2022.\n\nM&A Is Booming."", ""Barron's Latest Picks And Pans: Tesla, Exxon Mobil, Advanced Micro Devices, Hertz And More""]"
2022-01-02,"['The market could see a boost on Monday from shares of Tesla. The electric vehicle company reported 308,600 deliveries in the fourth quarter, beating expectations.\n\nThe first week of the year will be a busy one for economic data, with the key December jobs report slated for a Friday morning release.', 'Tesla: Analysts Whiff Again (NASDAQ:TSLA)', 'Apple, Amazon, Facebook, Google, Microsoft, Netflix, Nvidia, and Tesla added nearly $3 trillion in market cap in 2021. Anything approaching a repeat performance would shock me.\n\nIt’s hard to beat the index when the biggest names do this.', 'A few more crypto related predictions\n\nETH will not flip Bitcoin\n\nThe SEC will not approve a spot Bitcoin ETF\n\nTesla is the only S&P 500 company with Bitcoin on its balance sheet. That will change in 2022.\n\nMETA will add $1 billion in assets in 2022. Talk about being in the right place at the right time.', 'Tesla doesn’t converge with fundamentals. The most controversial company stock on the planet crushed it last year. It gained 50% in 2021, or $383 billion. That’s roughly the size of PG, or Proctor, or Proctor & Gamble if you’re not into the whole brevity thing.\n\nThis wasn’t just the result of ever-expanding multiples.', 'But however way you slice it, Tesla the stock looks stretched.\n\nTraditional fundamental metrics haven’t deterred Tesla shareholders over the last few years* and I don’t see that reversing in 2022. The stock won’t repeat 2021, but it won’t crash either.\n\n*Tesla is up 2,370% over the last five years. It has crashed 50% twice during that time.']"
2022-01-03,"['Tesla Inc (NASDAQ:TSLA): Tesla invested 1.5 billion USD into Bitcoin. CEO Elon Musk sold 10% of his holdings to ""prove liquidity of Bitcoin as an alternative to holding cash."" Musk is also a fan of Dogecoin (CRYPTO: Doge) and his tweets can often affect the market.', 'Tesla Inc (NASDAQ:TSLA): Tesla invested 1.5 billion USD into Bitcoin. CEO Elon Musk sold 10% of his holdings to ""prove liquidity of Bitcoin as an alternative to holding cash."" Musk is also a fan of Dogecoin (CRYPTO: Doge) and his tweets can often affect the market.', 'NEW YORK (BLOOMBERG) - Tesla Inc. is off to a strong start to the new year after the electric-car maker smashed its quarterly record for deliveries in what one analyst called a ""trophy-case"" performance.', ""The company's shares jumped 14 per cent in New York, their biggest gain since March and best start to a year since Tesla went public more than a decade ago. The $144 billion in market value that Tesla added on Monday is the equivalent of an entire Honeywell International Inc. or Starbucks Corp."", 'Annual handovers surged to more than 936,000 in 2021, up 87 per cent from the previous year\'s level, Austin, Texas-based Tesla said Sunday.\n\n""This is a trophy-case quarter for Tesla as the company blew away even bull-case expectations,"" Daniel Ives, an analyst at Wedbush Securities, said in an email.', 'The record quarter underscores the ""green tidal wave taking hold"" for Tesla and Chief Executive Officer Elon Musk, Ives said in a note to clients. The results also point to robust demand in China and Tesla\'s skill at navigating the global semiconductor shortage, he said.', 'Quarterly deliveries are one of the most closely watched indicators for Tesla. They underpin its financial results and are widely seen as a barometer of consumer demand for electric vehicles as a whole because the company has led the charge for battery-powered cars.', 'Tesla has said repeatedly it expects 50 per cent annual increases in deliveries over a multiyear period. The seventh consecutive quarterly gain comes amid a global semiconductor slump that has crimped production at most other automakers and kept sales in check despite rising demand.', '""Tesla continues to execute well, posting deliveries and production above consensus expectations,"" Cowen analyst Jeffrey Osborne said. ""As the competition heats up from incumbent OEMs and new entrants alike, we see 2022 becoming a critical year for Tesla.""', 'Tesla adds US$144 billion to market value after record deliveries']"
2022-01-04,"['Lucid Group\n\nLucid Group shares rose 280% in 2021, and Cramer said he knows many investors are justifiably looking for ""the next Tesla."" However, he cautioned that Lucid is still in the early stages of scaling up production.', ""After Tesla Inc.'s (NASDAQ:TSLA) strong fourth-quarter deliveries, the question in everyone's mind is whether the electric vehicle maker can maintain the scorching pace of growth amid supply constraints and intensifying competition."", ""The Tesla Analyst: BofA Securities analyst John Murphy maintained a Neutral rating and a $1,200 price target for Tesla shares.\n\nThe Tesla Thesis: Tesla's deliveries and production increased 71% and 70%, respectively year-over-year, but sequentially, the rate is less pronounced at 28% and 29%, Murphy said in a note."", 'Earlier this year, Tesla seemed to halt plans to add incremental capacity at its Gigafactory Shanghai, although reasons are less clear, the analyst said. The company has also pushed back the production start timeline for both its Cybertruck and Semi to 2022 from 2021, the analyst noted. This may have been due to supply constraints.', ""Related Link: Tesla Analysts Up Price Target Following Q4 Deliveries Beat; '2022 The Year EV Maker Begins To Perform Like A Tera-Cap'\n\nMany newer EV entrants are attempting to replicate Tesla's success by raising external capital to fund technology investment, product development, capacity installation, and other business initiatives, BofA said."", 'This represents a risk for Tesla.\n\n""TSLA does have a first-mover advantage in the EV revolution, but it is unclear whether the company will be dominant over the longer-term,"" Murphy said.', 'TSLA Price Action: Tesla closed down 4.1% at $1,149.59.', 'Other high flyers of late, including Tesla TSLA -4.2% and NVIDIA NVDA -2.7% look like more pure rotation plays out of forward speculation and into cyclicals.\n\nEarlier today, we saw ISM Manufacturing numbers come down unexpectedly, to 58.7% last month from the 61.1% rate in November.', '(CSCO): Free Stock Analysis Report\n\n\n\nNVIDIA Corporation (NVDA): Free Stock Analysis Report\n\n\n\nTesla, Inc. (TSLA): Free Stock Analysis Report\n\n\n\nJD.com, Inc. (JD): Free Stock Analysis Report\n\n\n\nPinduoduo Inc. Sponsored ADR (PDD): Free Stock Analysis Report\n\n\n\nTo read this article on Zacks.com click here.']"
2022-01-05,"['FILE PHOTO: A logo of the electric-vehicle maker Tesla is seen near a shopping complex in Beijing, China January 5, 2021.', 'REUTERS/Tingshu Wang/File Photo/File Photo\n\n(Reuters) - The demand for electric vehicles pushed U.S. automakers last year to unveil plans to spend billions of dollars to electrify gasoline models or introduce electric cars and trucks in a bid to catch up with market leader Tesla (NASDAQ: ) Inc.', ""EV companies, along with their models and deliveries, if applicable:\n\nTESLA INC\n\n** Tesla, led by billionaire Elon Musk, sells four EV models: luxury sedan Model S, a less-expensive sedan Model 3, SUV Model Y and a luxury SUV Model X.\n\n** Musk said the world's most valuable carmaker is aiming to deliver its second-generation roadster and Semi electric"", 'commercial truck in 2023.\n\n** Production of its much-anticipated Cybertruck is likely to begin at the end of this year, with volume production in 2023, he said.\n\n** Tesla delivered 936,172 EVs in 2021\n\nGENERAL MOTORS CO\n\n** GM has paused the retail sale of its Chevrolet Bolt EV after a series of fires last year.', 'Factbox-U.S. automakers line up EV models to take on Tesla By Reuters', 'Many traditional automotive companies have been transitioning into the electric vehicle space, which for years has been dominated by Tesla Inc (NASDAQ:TSLA) in the United States.', ""Related Link: Tesla Can End Up Being The 'iPhone' Of The EV Industry And It's 'Show Me Year' For Ford, Rivian, Lucid: Gene Munste"", 'Tesla Stock: Lithium Market Points To Long Term Share Pain (NASDAQ:TSLA)']"
2022-01-06,"['Active growth managers were also underweight on Tesla and Microsoft, which both returned about 50% last year, Kwon added.\n\nAdditionally, so-called core active managers who pick high quality companies with strong fundamentals also largely underperformed, with only a quarter of these types of managers beating the S&P 500 last year.', 'Try refreshing your browser, or Rivian stock skids as legacy automakers rev up EV targets Back to video Competing EV makers Tesla Inc, Lordstown Motor and Fisker fell between 2.1% and 3.3%, with high-flying growth stocks under pressure from expectations the U.S. Federal Reserve could raise interest sooner than previously thought.', '“Tesla has shown us the extremely difficult path to ramping EV manufacturing. You can’t have the reward without the pain.” Jonas rates Rivian’s stock “overweight.” Rivian’s stock has slumped about 14% since the start of Wednesday, when Amazon.com Inc, one of Rivian’s biggest investors, said it teamed up with carmaker Stellantis NV .', '“It’s still sort of unproven in terms of investability of that as a stock versus some of the other names like Tesla, and arguably Ford,” said David Keller, chief market strategist at StockCharts.com.', 'Berkshire may now be on its way to becoming the next trillion-dollar company, joining the likes of Tesla (worth $1.07 trillion), Amazon ($1.66 trillion), Microsoft ($2.37 trillion) and Apple ($2.84 trillion).', 'Further Reading:\n\nStocks Plunge After Fed Minutes Show Central Bank Could Remove More Stimulus (Forbes)\n\nCathie Wood Doubles Down On Growth Stocks After Fund Loses A Fifth Of Its Value In 2021 (Forbes)\n\nStocks Rally To Jump-Start 2022, Tesla Surges And Apple Hits $3 Trillion (Forbes)\n\n10 Great Stock Picks For 2022 From Top-Performing Fund Managers (']"
2022-01-07,"['., only five make the list as of the time of writing: Apple Inc. ( AAPL, Financial), Microsoft Corp. ( MSFT, Financial), Amazon.com Inc. ( AMZN, Financial), Alphabet Inc. ( GOOG, Financial)( GOOGL, Financial) and Tesla Inc. ( TSLA, Financial). Before 2020, it was only Apple and Microsoft.', 'With the likes of Ford Motor Co. ( F, Financial) and General Motors ( GM, Financial) gearing up to compete with Tesla, could the next trillion-dollar company come from the electric vehicles sector?', 'SLYV, SHYG, T, HYZD, DIS, QUS, IXUS, FB, SAVA, VONG, SHYD, PSTH, FSK, MGC, IVW, VUG, CHE, AXP, NEE, SBUX, IBM, UPS, BA, IWM, IWF, Sold Out: BABA, SILK, DKNG, BIIB, PWFL,\n\nInvestment company Current Portfolio ) buys BTC iShares Core MSCI EAFE ETF, Vanguard Mid-Cap Value ETF, VANGUARD INDEX FDS, Schwab Emerging Markets Equity ETF, ISHARES TRUST, sells Tesla', 'Inc, Schwab U.S.', 'McAdam, LLC Buys BTC iShares Core MSCI EAFE ETF, Vanguard Mid-Cap Value ETF, VANGUARD INDEX FDS, Sells Tesla Inc, Schwab U.S. Mid-Cap ETF, Alibaba Group Holding', 'Tesla fell 3.5% and Nvidia slid 3.3%. Both were among the heaviest weights on the S&P 500.\n\n___\n\nAP Business Writer Elaine Kurtenbach contributed.']"
2022-01-08,"[""Tesla raises the price of its Full Self-Driving autopilot option from $10,000 to $12,000 beginning Jan. 17.\n\nTelsa's (TSLA) - Get Tesla Inc Report CEO Elon Musk on Friday tweeted that the electric vehicle maker plans to raise the price of its Full Self-Driving autopilot option to $12,000 on Jan. 17."", 'Tesla FSD price rising to $12K on Jan 17.""\n\nThe Full Self-Driving option for Tesla EVs is currently priced at $10,000. The company last raised the priced of FSD in November 2020 from $8,000 to $10,000.\n\nThe EV company rolled out its most recent 10.8 beta software for the FSD feature on Dec. 23 to certain Tesla owners.', 'Subscription pricing for Basic Autopilot to Full Self-Driving capability is $199 per month and $99 per month for Enhanced Autopilot to Full Self-Driving, according to the Tesla website.', ""After Tesla, Inc. (NASDAQ:TSLA) turned in stellar fourth-quarter deliveries on Sunday, the unanimous view among analysts is that capacity build and product refreshes, along with new product launches, are key for the EV maker's next leg of growth."", ""The Tesla Analyst: Wedbush analyst Daniel Ives has an Outperform rating and a $1,400 price target for Tesla shares, with the bull case price target at $1,800.\n\nThe Tesla Thesis: Paperwork is clearing for the Giga Austin to start producing Model Y vehicles over the next 7-10 days, analyst Ives said in a note, citing the firm's analysis."", 'The stamping machines for Model Y and testing is already in place and mostly completed, with paperwork now filed by Tesla to officially start key production in Austin over the next week, he added.', 'Related Link: Tesla To Hike Controversial Full Self-Driving Package To $12K Beginning January 17: Elon Musk Confirms\n\nLaunching the Austin production site in early January, according to the analyst, is very important to Tesla expanding both domestic and global production of Model Ys.', 'By the end of 2022, Tesla will have the capacity for about 2 million units annually from roughly 1 million now, the analyst said.', ""Tesla Price Action: Tesla shares closed Friday's session down 3.54% at $1,026.96.\n\nRelated Link: Why This Analyst Thinks Tesla Is a $2,500 Stock And When It May Reach That Price Target"", ""Why This Tesla Analyst Thinks Model Y Production At Giga Austin Will Kickoff In A Week's Time"", 'Here are the top ten stock market moving headlines of the past week.\n\n10: Tesla Fourth Quarter Deliveries: Electric vehicle giant Tesla Inc (NASDEQ:TSLA) reported record fourth quarter deliveries to kick off the trading week and the start of 2022.', 'Tesla delivered 936,172 units for the full fiscal year, beating analyst estimates as well.\n\nShares of Tesla started the week trading higher but ended the week down 3%, closing Friday at $1,026.96.\n\n9: Elizabeth Holmes Guilty: Theranos Inc Founder and former CEO Elizabeth Holmes was found guilty on four counts of criminal fraud.', 'The top five holdings in ARKK are Tesla at 8.7%, Roku Inc (NASDAQ:ROKU) at 6.1%, Teladoc Health Inc (NYSE:TDOC) at 6.1%, Zoom Video Communications Inc (NASDAQ:ZM) at 6.0% and Coinbase Global Inc (NASDAQ:COIN) at 5.1%. All of the top five holdings except Tesla are near 52-week lows.', 'Related Link: Top 10 Most Searched Tickers On Benzinga Pro In 2021: Tesla, Apple, AMC, GameStop And More', 'Top 10 Stock Market Moving Headlines From Last Week: Tesla, Ark Innovation ETF, Bitcoin And More']"
